Job title,Age,Industry,Salary,Bonus,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
office administrator,35-44,nonprofits,60000.0,0.0,44902.88284604376,Canada,Other,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
digital archivist,35-44,education (higher education),65000.0,0.0,65000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
associate program manager,25-34,business or consulting,85000.0,8500.0,93500.0,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
csr,25-34,sales,39520.0,0.0,39520.0,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White
director of engineering,45-54,computing or tech,115000.0,0.0,86063.85878825052,Canada,Other,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
fuel efficiency program analyst,25-34,energy,76000.0,0.0,76000.0,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
senior vice president of marketing,55-64,business or consulting,180000.0,60000.0,240000.0,United States,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
accounting manager,25-34,"accounting, banking & finance",90000.0,0.0,90000.0,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
technical assistant,25-34,government and public administration,19300.0,0.0,23981.67992486393,United Kingdom,Other,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
senior administrative assistant and project specialist,55-64,business or consulting,65000.0,5000.0,70000.0,United States,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
senior web application developer,45-54,computing or tech,98166.0,0.0,98166.0,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
director of development,25-34,education (primary/secondary),63500.0,0.0,63500.0,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
quality assurance lead,55-64,environmental regulation,58.0,0.0,58.0,United States,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
program & administrative assistant,25-34,nonprofits,47700.0,2000.0,49700.0,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
chief engineer,55-64,computing or tech,87000.0,8000.0,95000.0,United States,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
production co-ordinator,35-44,media & digital,48000.0,0.0,35922.30627683501,Canada,Other,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
administrative support assistant,25-34,education (higher education),39635.0,305.0,39940.0,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
administrative officer,25-34,government and public administration,53000.0,0.0,53000.0,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
executive secretary/secretary to board of school trustees,45-54,education (primary/secondary),47255.0,0.0,47255.0,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
senior project manager,35-44,property or construction,196000.0,10000.0,206000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
customer service representative,45-54,health care,34361.0,0.0,34361.0,United States,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
senior device engineer,45-54,engineering or manufacturing,150000.0,20000.0,170000.0,United States,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
graphic designer,25-34,hospitality & events,75000.0,0.0,75000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
graduate student,35-44,education (higher education),20000.0,0.0,20000.0,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
senior financial analyst,25-34,computing or tech,107220.0,16083.0,123303.0,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
case manager,35-44,government and public administration,78000.0,0.0,58373.74769985688,Canada,Other,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
professor,45-54,education (higher education),95000.0,10000.0,105000.0,United States,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
office manager,45-54,sales,42000.0,0.0,42000.0,United States,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
finance manager,25-34,"accounting, banking & finance",100000.0,5000.0,105000.0,United States,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,White
software engineer,25-34,computing or tech,50000.0,0.0,62128.7044685594,United Kingdom,Other,Nottingham,5-7 years,2 - 4 years,High School,Man,White
medical education director,35-44,education (higher education),119000.0,2500.0,121500.0,United States,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
finance acountant,45-54,"accounting, banking & finance",66000.0,5000.0,88222.76034535436,United Kingdom,Other,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
associate director of donor relations,25-34,education (higher education),75000.0,0.0,75000.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
assistant professor of law,35-44,education (higher education),145000.0,15000.0,160000.0,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
investment advisor,25-34,"accounting, banking & finance",95000.0,10000.0,78580.04498057657,Canada,Other,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
content writer,25-34,"marketing, advertising & pr",48000.0,2000.0,50000.0,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
assistant director of finance,45-54,"accounting, banking & finance",75000.0,10000.0,85000.0,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
digital marketing specialist,35-44,media & digital,42000.0,0.0,42000.0,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
archivist,35-44,nonprofits,54000.0,100.0,54100.0,United States,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
assistant professor,35-44,education (higher education),92000.0,0.0,68851.08703060042,Canada,Other,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
head of public sector data sharing ,45-54,government and public administration,50870.0,0.0,63209.74392631234,United Kingdom,Other,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
qc supervisor,55-64,medical devices,60000.0,500.0,60500.0,United States,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
content development manager,55-64,nonprofits,101500.0,0.0,101500.0,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
clinical research assistant ii,25-34,academic research (psychology),36883.0,150.0,37033.0,United States,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
news editor,25-34,media & digital,85000.0,0.0,85000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
senior administrative assistant ,25-34,education (higher education),62000.0,0.0,62000.0,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
product manager,35-44,computing or tech,130000.0,0.0,130000.0,United States,Other,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
career services professional,55-64,education (higher education),55000.0,0.0,55000.0,United States,Other,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
project coordinator,25-34,government and public administration,59015.0,0.0,59015.0,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
"associate manager, education",25-34,business or consulting,71000.0,3000.0,74000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
director,45-54,social work,53000.0,0.0,53000.0,United States,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
senior librarian,25-34,public library,63000.0,0.0,63000.0,United States,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
project estimator,35-44,engineering or manufacturing,95000.0,5000.0,100000.0,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
accounts manager ,35-44,surveying ,85000.0,0.0,57066.825629738334,Australia,Other,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
customer advocate,35-44,nonprofits,35000.0,3000.0,38000.0,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
accounts payable manager,35-44,"accounting, banking & finance",56000.0,2500.0,58500.0,United States,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
associate director,35-44,education (higher education),85000.0,0.0,85000.0,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
editor,35-44,education (higher education),62000.0,0.0,62000.0,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
program associate,25-34,nonprofits,63000.0,1000.0,64000.0,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
senior people advisor,25-34,recruitment or hr,45000.0,10000.0,68341.57491541535,United Kingdom,Other,London,11 - 20 years,8 - 10 years,College degree,Woman,White
online sales support manager,35-44,nonprofits,86000.0,6000.0,92000.0,United States,Other,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
phd candidate,18-24,phd,19000.0,0.0,23608.907698052575,United Kingdom,Other,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
research technologist,35-44,education (higher education),42000.0,0.0,42000.0,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
rim manager,55-64,biopharma,114000.0,30000.0,144000.0,United States,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
senior client service representative,45-54,insurance,73000.0,0.0,73000.0,United States,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
funding manager,35-44,nonprofits,54000.0,0.0,67099.00082604415,United Kingdom,Other,London,11 - 20 years,11 - 20 years,College degree,Woman,White
clinical analyst,45-54,health care,100000.0,0.0,100000.0,United States,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
editor,25-34,publishing,27000.0,0.0,33549.50041302208,United Kingdom,Other,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
policy analyst ,18-24,government and public administration,60129.0,3000.0,63129.0,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
research scientist,45-54,stem research,135000.0,0.0,135000.0,United States,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
service designer,25-34,computing or tech,130000.0,0.0,130000.0,United States,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
librarian,25-34,libraries,26000.0,0.0,26000.0,United States,Oklahoma,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
senior accountant,25-34,"accounting, banking & finance",60000.0,0.0,60000.0,United States,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
administrative assistant,35-44,nonprofits,37000.0,0.0,37000.0,United States,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
user experience specialist,25-34,engineering or manufacturing,85000.0,3000.0,88000.0,United States,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White
self-employed writer,35-44,media & digital,45000.0,20000.0,65000.0,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
director of development,25-34,nonprofits,92000.0,0.0,92000.0,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
production technician,25-34,engineering or manufacturing,65000.0,4000.0,69000.0,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White
graphic designer,35-44,"marketing, advertising & pr",35000.0,0.0,35000.0,United States,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
compliance officer,25-34,"accounting, banking & finance",74000.0,1000.0,75000.0,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
director of intelligence,25-34,engineering or manufacturing,102500.0,20000.0,122500.0,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
coordinator of survivor services,35-44,nonprofits,70000.0,0.0,70000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
software development manager,45-54,computing or tech,140000.0,5000.0,145000.0,United States,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
project architect,35-44,architecture,58000.0,4000.0,62000.0,United States,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
brand consultant,35-44,"marketing, advertising & pr",400000.0,0.0,400000.0,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
hr director,35-44,nonprofits,61200.0,0.0,61200.0,United States,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
marketing director ,25-34,"marketing, advertising & pr",85000.0,10000.0,118044.53849026287,United Kingdom,Other,London,8 - 10 years,8 - 10 years,College degree,Woman,White
talent acquisition specialist,25-34,recruitment or hr,66000.0,0.0,66000.0,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
technical support specialist,35-44,computing or tech,70000.0,0.0,70000.0,United States,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
communications specialist,25-34,education (higher education),52000.0,0.0,52000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
cad manager,45-54,property or construction,75500.0,5000.0,80500.0,United States,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White
content strategist and writer,25-34,"marketing, advertising & pr",57000.0,0.0,57000.0,United States,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
associate,25-34,nonprofits,83200.0,0.0,83200.0,United States,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
"manager, planning",18-24,"marketing, advertising & pr",77500.0,0.0,77500.0,United States,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
fulfillment expert,35-44,retail,31200.0,0.0,31200.0,United States,Florida,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
midwife,25-34,health care,31000.0,1000.0,39762.37085987802,United Kingdom,Other,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
associate creative director,35-44,"marketing, advertising & pr",215000.0,10000.0,225000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
administrative specialist,25-34,academic medicine ,55000.0,2500.0,57500.0,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man,White
senior corporate counsel,45-54,law,220000.0,0.0,220000.0,United States,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
head of data & analytics,25-34,retail,100000.0,0.0,100000.0,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
systems analyst,25-34,computing or tech,80000.0,0.0,80000.0,United States,Other,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
librarian,25-34,education (higher education),52500.0,0.0,52500.0,United States,North Carolina,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
lead business controls specialist,25-34,"accounting, banking & finance",94000.0,0.0,94000.0,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
product engineer,25-34,engineering or manufacturing,57000.0,0.0,57000.0,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
senior technical writer,35-44,computing or tech,83000.0,8000.0,91000.0,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
senior director,35-44,nonprofits,90000.0,0.0,90000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
hotel sales manager,35-44,hospitality & events,66950.0,0.0,66950.0,United States,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
planner,25-34,government and public administration,76000.0,0.0,76000.0,United States,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
principal engineer,25-34,engineering or manufacturing,52000.0,6000.0,72069.2971835289,United Kingdom,Other,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
