Job title,Age,Industry,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
program director,25-34,nonprofits,62000.0,United States,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
economist,35-44,government and public administration,140000.0,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
research engineer,25-34,engineering or manufacturing,80000.0,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
editor,35-44,media & digital,125000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
accounting manager,35-44,"accounting, banking & finance",125000.0,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
reporter,18-24,media & digital,41100.0,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
senior administrator ,25-34,"accounting, banking & finance",86000.0,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
receptionist,25-34,"accounting, banking & finance",37000.0,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
lead engineer,45-54,engineering or manufacturing,150000.0,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
senior copywriter,35-44,"marketing, advertising & pr",50945.53766421871,United Kingdom,Other,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
intelligence analyst,25-34,computing or tech,130000.0,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
project manager,25-34,nonprofits,68125.0,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
mobile developer,35-44,computing or tech,147100.0,United States,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
engineering specialist,25-34,engineering or manufacturing,90928.3377632386,Canada,Other,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
research and development engineer 3,35-44,education (higher education),96000.0,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
editor,35-44,media & digital,38915.83179990459,Canada,Other,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
program officer,25-34,government and public administration,115000.0,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
account supervisor,25-34,business or consulting,103500.0,United States,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
coordinator,25-34,education (higher education),52000.0,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
senior advisor,25-34,government and public administration,59122.12908062428,Canada,Other,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
technical specialist,25-34,computing or tech,36000.0,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
project engineer ,35-44,aerospace contracting,125600.0,United States,Other,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
pricing analyst,25-34,insurance,58400.98220044584,United Kingdom,Other,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
marketing coordinator,25-34,engineering or manufacturing,45000.0,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
tech writer,35-44,computing or tech,88000.0,United States,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
supervisory archivist,35-44,nonprofits,71000.0,United States,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
program manager,45-54,education (higher education),71000.0,United States,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
senior business analyst,35-44,computing or tech,125000.0,United States,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
senior ux designer,25-34,art & design,91000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
senior engineer ,35-44,engineering or manufacturing,118000.0,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
office administrator,35-44,nonprofits,44902.88284604376,Canada,Other,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
digital archivist,35-44,education (higher education),65000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
associate program manager,25-34,business or consulting,93500.0,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
csr,25-34,sales,39520.0,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White
director of engineering,45-54,computing or tech,86063.85878825052,Canada,Other,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
accounting manager,25-34,"accounting, banking & finance",90000.0,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
technical assistant,25-34,government and public administration,23981.67992486393,United Kingdom,Other,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
senior web application developer,45-54,computing or tech,98166.0,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
director of development,25-34,education (primary/secondary),63500.0,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
program & administrative assistant,25-34,nonprofits,49700.0,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
chief engineer,55-64,computing or tech,95000.0,United States,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
production co-ordinator,35-44,media & digital,35922.30627683501,Canada,Other,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
administrative support assistant,25-34,education (higher education),39940.0,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
administrative officer,25-34,government and public administration,53000.0,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
customer service representative,45-54,health care,34361.0,United States,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
graphic designer,25-34,hospitality & events,75000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
graduate student,35-44,education (higher education),20000.0,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
senior financial analyst,25-34,computing or tech,123303.0,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
case manager,35-44,government and public administration,58373.74769985688,Canada,Other,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
professor,45-54,education (higher education),105000.0,United States,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
office manager,45-54,sales,42000.0,United States,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
finance manager,25-34,"accounting, banking & finance",105000.0,United States,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,White
software engineer,25-34,computing or tech,62128.7044685594,United Kingdom,Other,Nottingham,5-7 years,2 - 4 years,High School,Man,White
medical education director,35-44,education (higher education),121500.0,United States,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
associate director of donor relations,25-34,education (higher education),75000.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
content writer,25-34,"marketing, advertising & pr",50000.0,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
assistant director of finance,45-54,"accounting, banking & finance",85000.0,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
digital marketing specialist,35-44,media & digital,42000.0,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
archivist,35-44,nonprofits,54100.0,United States,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
qc supervisor,55-64,medical devices,60500.0,United States,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
content development manager,55-64,nonprofits,101500.0,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
news editor,25-34,media & digital,85000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
senior administrative assistant ,25-34,education (higher education),62000.0,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
product manager,35-44,computing or tech,130000.0,United States,Other,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
project coordinator,25-34,government and public administration,59015.0,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
director,45-54,social work,53000.0,United States,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
senior librarian,25-34,public library,63000.0,United States,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
accounts payable manager,35-44,"accounting, banking & finance",58500.0,United States,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
associate director,35-44,education (higher education),85000.0,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
editor,35-44,education (higher education),62000.0,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
program associate,25-34,nonprofits,64000.0,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
phd candidate,18-24,phd,23608.90769805257,United Kingdom,Other,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
research technologist,35-44,education (higher education),42000.0,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
rim manager,55-64,biopharma,144000.0,United States,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
editor,25-34,publishing,33549.50041302208,United Kingdom,Other,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
policy analyst ,18-24,government and public administration,63129.0,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
research scientist,45-54,stem research,135000.0,United States,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
librarian,25-34,libraries,26000.0,United States,Oklahoma,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
senior accountant,25-34,"accounting, banking & finance",60000.0,United States,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
administrative assistant,35-44,nonprofits,37000.0,United States,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
director of development,25-34,nonprofits,92000.0,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
production technician,25-34,engineering or manufacturing,69000.0,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White
graphic designer,35-44,"marketing, advertising & pr",35000.0,United States,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
compliance officer,25-34,"accounting, banking & finance",75000.0,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
software development manager,45-54,computing or tech,145000.0,United States,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
hr director,35-44,nonprofits,61200.0,United States,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
talent acquisition specialist,25-34,recruitment or hr,66000.0,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
technical support specialist,35-44,computing or tech,70000.0,United States,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
communications specialist,25-34,education (higher education),52000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
associate,25-34,nonprofits,83200.0,United States,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
midwife,25-34,health care,39762.37085987802,United Kingdom,Other,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
administrative specialist,25-34,academic medicine ,57500.0,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man,White
systems analyst,25-34,computing or tech,80000.0,United States,Other,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
librarian,25-34,education (higher education),52500.0,United States,North Carolina,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
product engineer,25-34,engineering or manufacturing,57000.0,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
senior technical writer,35-44,computing or tech,91000.0,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
senior director,35-44,nonprofits,90000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
planner,25-34,government and public administration,76000.0,United States,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
principal engineer,25-34,engineering or manufacturing,72069.2971835289,United Kingdom,Other,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
media and pr,35-44,engineering or manufacturing,80000.0,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
library specialist,25-34,education (higher education),34299.0,United States,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
director of client services,35-44,hospitality & events,85000.0,United States,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,White
associate attorney,35-44,law,125000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
administrative associate,35-44,commercial real estate ,60000.0,United States,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman,White
operations manager,25-34,pet care industry (dog training/walking),48500.0,United States,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
software engineer,35-44,engineering or manufacturing,148000.0,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
marketing manager,25-34,"marketing, advertising & pr",44902.88284604376,Canada,Other,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White
librarian,45-54,education (primary/secondary),71000.0,United States,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
communications associate,25-34,nonprofits,53000.0,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
graduate research assitant,18-24,engineering or manufacturing,25700.0,United States,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
content strategist,35-44,health care,50000.0,United States,Arizona,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
data analyst,18-24,business or consulting,62000.0,United States,Massachusetts,Braintree,1 year or less,1 year or less,College degree,Woman,White
business analyst,45-54,computing or tech,88000.0,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
reporting analyst ,25-34,"accounting, banking & finance",45760.0,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
communications manager,25-34,"marketing, advertising & pr",86000.0,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White
project manager,25-34,engineering or manufacturing,58553.359231241055,Canada,Other,Calgary,5-7 years,5-7 years,Master's degree,Woman,White
admissions advisor,25-34,education (higher education),56000.0,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White
business development specialist,25-34,educational technology - hybrid between book publishing and technology really,69000.0,United States,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman,White
associate,25-34,law,125000.0,United States,Tennessee,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White
assistant project manager,25-34,property or construction,55000.0,United States,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman,White
supply chain manager,35-44,computing or tech,175000.0,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
rn,25-34,health care,60000.0,United States,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
regulatory affairs manager ,35-44,pharmaceuticals,143750.0,United States,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman,White
teacher,45-54,education (primary/secondary),94000.0,United States,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
np-phc,25-34,health care,73341.3753152048,Canada,Other,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White
administrative assistant,35-44,government and public administration,49000.0,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White
director of development,35-44,nonprofits,120000.0,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
consultant,55-64,recruitment or hr,135000.0,United States,Illinois,"Chicago area mostly, but also the US and Canada",31 - 40 years,31 - 40 years,College degree,Woman,White
policy analyst ,35-44,government and public administration,70000.0,United States,Massachusetts,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White
visual designer,25-34,computing or tech,111400.0,United States,Illinois,Chicago (remote),5-7 years,5-7 years,College degree,Woman,White
graphic designer,55-64,"marketing, advertising & pr",61000.0,United States,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
digital marketing specialist,35-44,nonprofits,45000.0,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
editor,25-34,government and public administration,78167.0,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
principal consultant ,35-44,"accounting, banking & finance",115000.0,United States,North Carolina,Charlotte,11 - 20 years,11 - 20 years,Master's degree,Woman,White
editor,25-34,government and public administration,93000.0,United States,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman,White
qc chemistry manager,35-44,engineering or manufacturing,134550.0,United States,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
supervisor ,45-54,insurance,66000.0,United States,Other,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman,White
research administrator ,35-44,education (higher education),71697.0,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
senior property manager,45-54,real estate,99000.0,United States,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman,White
administrator,25-34,property or construction,46025.454917194846,Canada,Other,Calgary,8 - 10 years,8 - 10 years,Some college,Woman,White
hr business partner,25-34,transport or logistics,56000.0,United States,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman,White
product support representative,45-54,engineering or manufacturing,49840.0,United States,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White"
senior consultant,45-54,environmental consulting,110000.0,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman,White
operations,25-34,"accounting, banking & finance",150000.0,United States,Texas,Dallas,5-7 years,5-7 years,College degree,Man,White
public library director,35-44,government and public administration,63000.0,United States,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
business development manager ,25-34,sales,124257.4089371188,United Kingdom,Other,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman,White
principal investigator,35-44,archaeology / cultural resource management,80000.0,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
museum technician,25-34,museum,52000.0,United States,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man,White
economist,25-34,government and public administration,112000.0,United States,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman,White
associate professor,45-54,education (higher education),67099.00082604415,United Kingdom,Other,London,21 - 30 years,21 - 30 years,PhD,Woman,White
editor,45-54,media & digital,120000.0,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
hr adviser,25-34,education (higher education),50464.66149163206,United Kingdom,Other,London,8 - 10 years,5-7 years,College degree,Woman,White
managing librarian,35-44,public library,72400.0,United States,New York,New York City,11 - 20 years,5-7 years,Master's degree,Woman,White
office administrator,25-34,government and public administration,43406.12008450896,Canada,Other,Toronto,8 - 10 years,5-7 years,Some college,Woman,White
accountant ,18-24,"accounting, banking & finance",45000.0,United States,Indiana,Indianapolis,1 year or less,1 year or less,College degree,Woman,White
talent management manager,25-34,recruitment or hr,115000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
analyst ,25-34,government and public administration,64000.0,United States,Maryland,Baltimore,5-7 years,1 year or less,College degree,Woman,Black or African American
accounting manager,55-64,property or construction,66000.0,United States,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman,White
quality manager ,45-54,engineering or manufacturing,84000.0,United States,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White
policy analyst,25-34,government and public administration,78000.0,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Woman,White
attorney,18-24,law,70000.0,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White
rn,65 or over,health care,120000.0,United States,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White
senior recruiter,25-34,recruitment or hr,111500.0,United States,Idaho,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
agile coach,45-54,computing or tech,143000.0,United States,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White
children's librarian,25-34,public library,75000.0,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
librarian ,25-34,education (higher education),48460.389485476335,United Kingdom,Other,London,11 - 20 years,8 - 10 years,Master's degree,Woman,White
principle product marketing manager,35-44,computing or tech,141000.0,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
program manager,25-34,nonprofits,65109.18012676344,Canada,Other,Toronto,2 - 4 years,2 - 4 years,PhD,Woman,Another option not listed here or prefer not to answer
grants coordinator,25-34,nonprofits,55000.0,United States,New York,New York City,8 - 10 years,2 - 4 years,Master's degree,Woman,White
account executive,25-34,"marketing, advertising & pr",53500.0,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
youth services librarian,25-34,government and public administration,49600.0,United States,Texas,DFW area,8 - 10 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White"
associate director of annual giving,25-34,nonprofits,50000.0,United States,Georgia,Atlanta,8 - 10 years,5-7 years,College degree,Woman,White
legislative analyst,25-34,nonprofits,65000.0,United States,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman,White
medical receptionist,25-34,health care,43680.0,United States,Massachusetts,North Andover,5-7 years,2 - 4 years,College degree,Woman,White
principal teacher,45-54,education (primary/secondary),63371.27855793059,United Kingdom,Other,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
senior marketing specialist,25-34,nonprofits,67700.0,United States,Washington,Bellevue,8 - 10 years,5-7 years,College degree,Woman,White
developer,18-24,"marketing, advertising & pr",75500.0,United States,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman,White
medical social worker,25-34,social work,63000.0,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,White
children's librarian,35-44,public library,39000.0,United States,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
payroll manager,35-44,education (higher education),105000.0,United States,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman,White
production editor ,35-44,media & digital,55000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
account manager,55-64,health care,43500.0,United States,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White
engineer,25-34,engineering or manufacturing,94000.0,United States,Texas,DFW,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
assistant general counsel,55-64,government and public administration,173000.0,United States,District of Columbia,DC,21 - 30 years,21 - 30 years,Master's degree,Woman,White
proposal manager,45-54,Other,91938.0,United States,North Carolina,Wilmington,21 - 30 years,11 - 20 years,College degree,Woman,White
pharmacist,25-34,health care,125500.0,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,PhD,Woman,White
administrative assistant,35-44,sales,36670.6876576024,Canada,Other,Montreal,21 - 30 years,11 - 20 years,Some college,Woman,White
production editor,25-34,media & digital,51000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
staff accountant,25-34,"accounting, banking & finance",62800.0,United States,Ohio,Cleveland,8 - 10 years,5-7 years,College degree,Man,White
product coordinator,35-44,art & design,40200.0,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman,White
sales account manager,35-44,engineering or manufacturing,70000.0,United States,Wisconsin,Milwaukee,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American
managing consultant,35-44,business or consulting,87000.0,United States,Minnesota,St. Paul,21 - 30 years,8 - 10 years,Master's degree,Woman,White
program manager,35-44,computing or tech,157000.0,United States,Colorado,Denver,21 - 30 years,21 - 30 years,College degree,Woman,White
assistant ,35-44,"""government relations"" (lobbying) ",65000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
senior research assistant,25-34,nonprofits,42120.0,United States,New Jersey,East Hanover,2 - 4 years,2 - 4 years,College degree,Woman,White
research associate,25-34,business or consulting,70000.0,United States,District of Columbia,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman,White
community support manager,25-34,nonprofits,85000.0,United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Man,White
business analyst,35-44,computing or tech,92000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
teacher,45-54,education (primary/secondary),94000.0,United States,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
human resources manager,45-54,computing or tech,96800.0,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
program assistant ,35-44,government and public administration,52000.0,United States,California,Citrus Heights,11 - 20 years,8 - 10 years,Some college,Woman,White
consultant,25-34,business or consulting,137000.0,United States,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White
controller,35-44,hospitality & events,108500.0,United States,Florida,Naples,21 - 30 years,21 - 30 years,College degree,Woman,White
registered behavior technician ,35-44,health care,43000.0,United States,Other,San Diego,8 - 10 years,5-7 years,Some college,Woman,White
office administrator ,45-54,nonprofits,36712.0,United States,Washington,Bellevue,11 - 20 years,5-7 years,Some college,Woman,White
